Location,Number of Sick People,min,max,average,Last Updated,deaths
Illinois,500 to 999,500,999,749.5,"May 1 - August 17, 2026",0
North Carolina,500 to 999,500,999,749.5,"May 1 - August 17, 2026",0
Nebraska,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
New York,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Texas,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Pennsylvania,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Kentucky,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Kansas,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Oklahoma,200 to 499,200,499,349.5,"May 1 - August 17, 2026",0
Missouri,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Minnesota,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Wisconsin,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Arkansas,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
West Virginia,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
New Jersey,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
New Hampshire,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Georgia,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Tennessee,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Massachusetts,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Virginia,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Florida,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
Iowa,50 to 199,50,199,124.5,"May 1 - August 17, 2026",0
South Dakota,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
South Carolina,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Rhode Island,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Washington,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Vermont,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Puerto Rico,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Utah,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Oregon,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
North Dakota,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Nevada,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Alaska,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Montana,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Maine,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Idaho,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
District of Columbia,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Connecticut,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Colorado,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
California,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Arizona,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Wyoming,1 to 49,1,49,25.0,"May 1 - August 17, 2026",0
Michigan,13909,13909,13909,13909.0,"August 13, 2026",2
Ohio,4087,4087,4087,4087.0,"July 28, 2026",0
Louisiana,100,100,100,100.0,"July 28, 2026",0
Alabama,33,33,33,33.0,"August 3, 2026",0
Indiana,1349,1349,1349,1349.0,"August 3, 2026",0
Maryland,69,69,69,69.0,"July 14, 2026",0
Florida,254,254,254,254.0,"July 25, 2026",0
Mississippi,5,5,5,5.0,"July 16, 2026",0
